chemical_id,chemical_name,casrn,smiles,endpoint,chemical_class,species,genus,family,order,class_name,phylum,trophic_group,duration_h,medium,temperature_c,ph,study_year,source,effect,toxicity_value,toxicity_unit,target_log_molar,physchem_mol_wt,physchem_logp,physchem_tpsa,physchem_hba,physchem_hbd,mech_hit_rate,mech_stress_response,ctx_lab_id,is_hard_ood,known_ood
CHEM_00000,Demo chemical 0,10000-00-0,CCCOC,fish_96h_lc50,surfactant,Danio rerio,Danio,DemoFamily,DemoOrder,DemoClass,Chordata,consumer,96,freshwater,19.96639768499142,7.158782428970568,2010,demo,mortality,0.0787292481238436,mmol/L,-1.1038638961157732,310.03609566451655,4.6286776596694565,20.979296226923275,5.758795949725657,1.6222335483431587,0.12784040316728537,0.06603069756121605,3.0,False,False
CHEM_00001,Demo chemical 1,10001-00-0,CC(C)N,algae_72h_ec50,surfactant,Chlorella vulgaris,Chlorella,DemoFamily,DemoOrder,DemoClass,Chlorophyta,producer,72,freshwater,22.44508267734806,7.438188207172479,2001,demo,growth,0.05560120736468583,mmol/L,-1.2549157777321946,279.50006272659994,2.3493408790052013,77.56900602614544,3.1433443556737855,0.7182931596094163,-0.049925910986252896,0.5323091855533487,2.0,False,False
CHEM_00002,Demo chemical 2,10002-00-0,CC(=O)O,daphnia_48h_ec50,pharma,Daphnia magna,Daphnia,DemoFamily,DemoOrder,DemoClass,Arthropoda,consumer,48,freshwater,22.257944585441784,7.45442101693805,2007,demo,mortality,0.03977115385808559,mmol/L,-1.4004318088900536,284.4656802406306,6.069977121044554,51.871699672307685,2.319687046074944,0.34041502744700836,-0.8137727282478777,0.6505927878247011,5.0,False,False
CHEM_00003,Demo chemical 3,10003-00-0,c1ccccc1,daphnia_48h_ec50,uv_filter,Ceriodaphnia dubia,Ceriodaphnia,DemoFamily,DemoOrder,DemoClass,Arthropoda,consumer,48,freshwater,20.447191097549364,7.771565425228758,2016,demo,mortality,0.01057501505069811,mmol/L,-1.9757190058507463,293.4523414644156,2.701388351253567,64.6432264613344,4.135158138977783,1.2312955189519874,0.11668580914072822,0.6312882258385404,4.0,False,False
CHEM_00004,Demo chemical 4,10004-00-0,CCN,daphnia_48h_ec50,flame_retardant,Moina macrocopa,Moina,DemoFamily,DemoOrder,DemoClass,Arthropoda,consumer,48,freshwater,16.63426045676839,7.36604598800569,2002,demo,mortality,0.023271302472549008,mmol/L,-1.6331793089861133,212.37018765657638,2.73334658210799,54.49715497546632,4.3255061302100115,1.4689778650874226,-0.8658311156932432,0.711226579792855,4.0,False,False
CHEM_00005,Demo chemical 5,10005-00-0,CCCCO,fish_96h_lc50,pharma,Pimephales promelas,Pimephales,DemoFamily,DemoOrder,DemoClass,Chordata,consumer,96,freshwater,20.28485147214113,7.776194141627108,2008,demo,mortality,0.00045869304447371066,mmol/L,-3.3384778453696287,318.6380705005723,3.270434810142062,34.48627353324156,3.1454947073269315,1.1268317528613714,-1.1332872140034806,0.6255903939673367,2.0,False,False
CHEM_00006,Demo chemical 6,10006-00-0,CC(C)N,daphnia_48h_ec50,uv_filter,Ceriodaphnia dubia,Ceriodaphnia,DemoFamily,DemoOrder,DemoClass,Arthropoda,consumer,48,freshwater,20.024988237455375,7.692298663562363,2018,demo,mortality,0.023511861847340568,mmol/L,-1.6287129787861552,197.0459247146679,3.0643353841219136,52.365242120033415,4.893062352059888,1.532308087178229,0.4869724807855818,-0.09848548450942361,2.0,False,False
CHEM_00007,Demo chemical 7,10007-00-0,CCOC(=O)C,fish_96h_lc50,flame_retardant,Pimephales promelas,Pimephales,DemoFamily,DemoOrder,DemoClass,Chordata,consumer,96,freshwater,22.59845659557213,7.35749441157543,2005,demo,mortality,0.0231507962168926,mmol/L,-1.6354340678574135,134.23100220615302,1.9127604651747172,40.05506344797037,5.475031136934173,0.25310585599209834,0.3997742267234366,-0.20543755786763002,2.0,False,False
CHEM_00008,Demo chemical 8,10008-00-0,C1CCCCC1,fish_96h_lc50,uv_filter,Oncorhynchus mykiss,Oncorhynchus,DemoFamily,DemoOrder,DemoClass,Chordata,consumer,96,freshwater,20.14425901542774,7.288202916374479,2019,demo,mortality,0.0002493680902970993,mmol/L,-3.6031591206029248,317.22465099659166,1.4272154921691818,68.68847287091715,4.465352422709408,1.0174817164187544,-0.5941499556967944,1.6017788913209154,1.0,False,False
CHEM_00009,Demo chemical 9,10009-00-0,CCN,daphnia_48h_ec50,pharma,Moina macrocopa,Moina,DemoFamily,DemoOrder,DemoClass,Arthropoda,consumer,48,freshwater,18.720496934500506,7.12936962343779,2007,demo,mortality,0.14560028487953386,mmol/L,-0.8368377752874835,267.5997347177412,5.1310250902885235,76.70222491829156,3.220380393688464,0.0,0.35687105914950934,0.6351509468144043,3.0,False,False
CHEM_00010,Demo chemical 10,10010-00-0,CCOC(=O)C,fish_96h_lc50,uv_filter,Oncorhynchus mykiss,Oncorhynchus,DemoFamily,DemoOrder,DemoClass,Chordata,consumer,96,freshwater,18.02092375993627,6.647181487707476,2003,demo,mortality,1.1391716884622147,mmol/L,0.056589183019060935,168.75367350339667,3.8762166169402343,76.76253135788762,4.535422924687672,0.3496471237517391,2.9138624660073296,-0.41535726017968533,5.0,False,False
CHEM_00011,Demo chemical 11,10011-00-0,CCN,daphnia_48h_ec50,pharma,Ceriodaphnia dubia,Ceriodaphnia,DemoFamily,DemoOrder,DemoClass,Arthropoda,consumer,48,freshwater,20.561373533902852,8.207171965431954,2019,demo,mortality,0.0006387432393130621,mmol/L,-3.194673683561058,262.56388539562755,3.309638195553574,39.28692494348377,4.2605490429457715,1.786191608818446,-1.674682944704357,-0.49929559853915206,2.0,False,False
